tp_record_share;id_polizza_exp;id_polizza_invio;id_polizza_inviante;id_polizza_ricevente;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;repertorio;codice_garanzia_art20;descrizione_garanzia_art20;stato_garanzia_art20;cod_garanzia_cmp;descrizione_garanzia_cmp;ramo_bil;codice_provv;aliquota;tasso;minimo;scoperto;valore_ass_1;valore_ass_2;valore_ass_3;tipo_bene_assicurato_art20;id_bene_exp;descrizione_bene_assicurato;id_beneficiario_exp;tipo_premi;tipo_premi_delega;provvigioni_totali;provvigioni_acquisto;provvigioni_incasso;netto;diritti;accessori;imponibile;antiracket;tasse;lordo;ssn;sconto_applicato_1;sconto_applicato_2;massimo;franchigia;diaria;libro_matricola;numero_applicazione_lm;collaboratore_1;provv_tot_c1;provv_acq_c1;provv_acq_parte_fissa_c1;provv_acq_parte_variabile_c1;provv_inc_c1;provv_inc_parte_fissa_c1;provv_inc_parte_variabile_c1;al_provv_tot_c1;al_provv_acq_c1;al_provv_acq_parte_fissa_c1;al_provv_acq_parte_variabile_c1;al_provv_inc_c1;al_provv_inc_parte_fissa_c1;al_provv_inc_parte_variabile_c1;timestamp_record
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;1E2;RCD DA CIVILI NON AUTOMATIZZATE;0;;0,00;0,00;0,00;0,00;500000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;14,44;0,00;0,00;14,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;2B1;INCENDIO ADB - CIVILI - DANNI D'ACQUA;0;;0,00;0,00;0,00;0,00;105000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;12,88;0,00;0,00;12,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;1B1;ADB DA CIVILI AUTOMATIZZATE;0;;0,00;0,00;0,00;0,00;100000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;29,68;0,00;0,00;29,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;S30;ADB - TERRORISMO DA RISCHI ORDINARI;0;;0,00;0,00;0,00;0,00;105000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;1,07;0,00;0,00;1,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;S02;HAIL - GRANDINE DA R.O. INCENDIO;0;;0,00;0,00;0,00;0,00;105000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;1,54;0,00;0,00;1,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;S15;WINDSTORM DA R.O. INCENDIO;0;;0,00;0,00;0,00;0,00;105000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;5,39;0,00;0,00;5,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;1E1;RCD DA CIVILI AUTOMATIZZATE;0;;0,00;0,00;0,00;0,00;1000000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;7,05;0,00;0,00;7,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;2E3;RCD DA GLOBALI STAND./ DANNI ACQUA;0;;0,00;0,00;0,00;0,00;1000000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;7,76;0,00;0,00;7,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;249472889;249472889;OWEB-23774-249472889;;5;GEN;;730857421;0;;;;;A47;DANNI INDIRETTI RO;0;;0,00;0,00;0,00;0,00;105000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;5,66;0,00;0,00;5,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400519;289400519;OWEB-23774-289400519;;5;GEN;;184643234;0;;;;;N89;MACCHINE AGRICOLE;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;140,19;0,00;0,00;140,19;0,00;32,24;172,43;14,72;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400519;289400519;OWEB-23774-289400519;;5;GEN;;184643234;0;;;;;O80;RICORSO TERZI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;0,5;0,00;0,00;0,5;0,00;0,07;0,57;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400520;289400520;OWEB-23774-289400520;;5;GEN;;184643235;0;;;;;N87;RC MOTOCICLI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;133,59;0,00;0,00;133,59;0,00;30,73;164,32;14,03;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400520;289400520;OWEB-23774-289400520;;5;GEN;;184643235;0;;;;;O80;RICORSO TERZI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;5,0;0,00;0,00;5,0;0,00;0,68;5,68;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400521;289400521;OWEB-23774-289400521;;5;GEN;;184643236;0;;;;;N87;RC MOTOCICLI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;130,08;0,00;0,00;130,08;0,00;29,92;160,0;13,66;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400522;289400522;OWEB-23774-289400522;;5;GEN;;184643237;0;;;;;N87;RC MOTOCICLI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;131,71;0,00;0,00;131,71;0,00;30,29;162,0;13,83;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400523;289400523;OWEB-23774-289400523;;5;GEN;;184643238;0;;;;;N83;RC AUTOVETTURE;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;337,51;0,00;0,00;337,51;0,00;77,63;415,14;35,44;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400523;289400523;OWEB-23774-289400523;;5;GEN;;184643238;0;;;;;T28;TUTELA LEGALE EXTRA;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;35,0;0,00;0,00;35,0;0,00;4,38;39,38;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400523;289400523;OWEB-23774-289400523;;5;GEN;;184643238;0;;;;;P02;ASSISTENZA AUTO;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;57,28;0,00;0,00;57,28;0,00;5,73;63,01;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400523;289400523;OWEB-23774-289400523;;5;GEN;;184643238;0;;;;;O98;GUASTI KASKO VEICOLO NON ASSIC. O NON IDENTIFICATO;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;25,0;0,00;0,00;25,0;0,00;3,38;28,38;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400523;289400523;OWEB-23774-289400523;;5;GEN;;184643238;0;;;;;O80;RICORSO TERZI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;12,0;0,00;0,00;12,0;0,00;1,62;13,62;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400524;289400524;OWEB-23774-289400524;;5;GEN;;184643239;0;;;;;N84;RC AUTOCARRI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;420,4;0,00;0,00;420,4;0,00;96,69;517,09;44,14;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400524;289400524;OWEB-23774-289400524;;5;GEN;;184643239;0;;;;;O80;RICORSO TERZI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;0,5;0,00;0,00;0,5;0,00;0,07;0,57;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400524;289400524;OWEB-23774-289400524;;5;GEN;;184643239;0;;;;;P12;ASSISTENZA AUTOCARRI - GENL/GENP;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;40,91;0,00;0,00;40,91;0,00;4,09;45,0;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400525;289400525;OWEB-23774-289400525;;5;GEN;;184643240;0;;;;;N83;RC AUTOVETTURE;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;646,65;0,00;0,00;646,65;0,00;148,73;795,38;67,9;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400525;289400525;OWEB-23774-289400525;;5;GEN;;184643240;0;;;;;P02;ASSISTENZA AUTO;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;22,73;0,00;0,00;22,73;0,00;2,27;25,0;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400525;289400525;OWEB-23774-289400525;;5;GEN;;184643240;0;;;;;O58;ROTTURA CRISTALLI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;125,94;0,00;0,00;125,94;0,00;17,0;142,94;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400525;289400525;OWEB-23774-289400525;;5;GEN;;184643240;0;;;;;O80;RICORSO TERZI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;5,0;0,00;0,00;5,0;0,00;0,68;5,68;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;N83;RC AUTOVETTURE;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;203,69;0,00;0,00;203,69;0,00;46,85;250,54;21,39;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;T28;TUTELA LEGALE EXTRA;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;35,0;0,00;0,00;35,0;0,00;4,38;39,38;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;O62;INCENDIO AUTOVEICOLI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;60,29;0,00;0,00;60,29;0,00;8,14;68,43;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;O63;FURTO AUTOVEICOLI;0;;0,00;0,00;250,0;10,0;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;127,45;0,00;0,00;127,45;0,00;17,21;144,66;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;P02;ASSISTENZA AUTO;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;40,91;0,00;0,00;40,91;0,00;4,09;45,0;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;O96;EVENTI NATURALI;0;;0,00;0,00;500,0;15,0;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;76,03;0,00;0,00;76,03;0,00;10,26;86,29;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;S87;GRANDINE;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;153,07;0,00;0,00;153,07;0,00;20,66;173,73;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;O58;ROTTURA CRISTALLI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;19,14;0,00;0,00;19,14;0,00;2,58;21,72;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;O80;RICORSO TERZI;0;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;5,0;0,00;0,00;5,0;0,00;0,68;5,68;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400526;289400526;OWEB-23774-289400526;;5;GEN;;184643241;0;;;;;O50;GUASTI (POLIZZE KASKO);0;;0,00;0,00;300,0;10,0;0,00;0,00;0,00;;;;;R;T;0,00;0,00;0,00;595,66;0,00;0,00;595,66;0,00;80,41;676,07;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;205;DIVERSI;0;;0,00;0,00;0,00;0,00;23000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;102,93;0,00;0,00;102,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;EE1;ELETTRONICA;0;;0,00;0,00;0,00;0,00;10000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;47,01;0,00;0,00;47,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;26C;FURTO - A TASSA ZERO;0;;0,00;0,00;0,00;0,00;1,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;AD1;RISCHI CIVILI STAND. - BENI STORICI;0;;0,00;0,00;0,00;0,00;4510000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;450,03;0,00;0,00;450,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;S96;SCIOPERO - ADB DA RISCHI INDUSTRIALI - TASSA 0;0;;0,00;0,00;0,00;0,00;4500000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;AB1;RISCHI CIVILI STAND. - ADB - BENI STORICI;0;;0,00;0,00;0,00;0,00;4510000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;551,85;0,00;0,00;551,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;S93;TERRORISMO DA R.I. INCENDIO - TASSA 0;0;;0,00;0,00;0,00;0,00;4500000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;S94;ADB - TERRORISMO DA RISCHI INDUSTRIALI - TASSA 0;0;;0,00;0,00;0,00;0,00;4500000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
30;289400527;289400527;OWEB-23774-289400527;;5;GEN;;732884004;0;;;;;0CC;CATASTROFALI - BENI STORICI;0;;0,00;0,00;0,00;0,00;4500000,0;0,00;0,00;;;;;R;T;0,00;0,00;0,00;128,67;0,00;0,00;128,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;N;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
